slug,title,wordCount,readingTimeMinutes,effort
layer-6-presentation,Layer 6 (Presentation),128,0.6,Outline
layer-7-application,Layer 7 (Application),320,1.6,Light
leased-line-connections,Leased Line Connections,96,0.5,Outline
log-aggragarion-with-syslog,Log Aggragarion with Syslog,351,1.8,Light
logical-security,Logical Security,74,0.4,Outline
mac-flooding,MAC Flooding,259,1.3,Light
malware,Malware,481,2.4,Medium
maximum-transition-unit,Maximum Transition Unit,100,0.5,Outline
media-and-cabling,Media and Cabling,80,0.4,Outline
mfa-multifator-authentication,MFA (Multifator Authentication),134,0.7,Outline
microwave,Microwave,18,0.1,Outline
missed-practice,Missed practice,14,0.1,Outline
more-network-device-commands,more network device commands,36,0.2,Outline
multicast-routing,multicast routing,80,0.4,Outline
multiprotocol-label-switching-mpls,Multiprotocol Label Switching (MPLS),318,1.6,Light
nac-network-access-control,NAC ( Network Access Control),573,2.9,Medium
netflow-data,Netflow Data,365,1.8,Light
netstat,netstat,10,0.1,Outline
network,Network +,178,0.9,Light
network-attacks,Network Attacks,70,0.3,Outline
network-cable-limitations,Network Cable Limitations,192,1,Light
network-devices,Network Devices,576,2.9,Medium
network-function-virtuilizaiton,Network Function Virtuilizaiton,259,1.3,Light
network-fundamentals,Network Fundamentals,56,0.3,Outline
network-moitoring,Network Moitoring,114,0.6,Outline
network-performance-metrics,Network Performance metrics,269,1.3,Light
network-port-fundamentals,Network port Fundamentals,368,1.8,Light
network-security-fundamentals,Network Security Fundamentals,75,0.4,Outline
network-segmentation,Network Segmentation,100,0.5,Outline
network-sensor,Network Sensor,273,1.4,Light
network-service-ports-and-protocols,Network Service Ports and Protocols,502,2.5,Medium
network-services,Network Services,66,0.3,Outline
nmap,nmap,36,0.2,Outline
nslookup-dig-and-hostname,"nslookup, dig and hostname",68,0.3,Outline
ntp-network-time-protocol,NTP (NETWORK TIME PROTOCOL),257,1.3,Light
obj-1-2-network-componets,OBJ 1.2 - NETWORK COMPONETS,196,1,Light
obj-1-2-network-resources,OBJ 1.2 Network Resources,77,0.4,Outline
obj-1-6-understanding-network-geography,OBJ 1.6 Understanding Network Geography,125,0.6,Outline
obj-1-6-wired-network-topology,OBJ 1.6 Wired Network Topology,322,1.6,Light
on-path-attack,on path attack,365,1.8,Light
orchestration-and-automation,Orchestration and Automation,127,0.6,Outline
osi-model,OSI Model,129,0.6,Outline
other-network-ports-and-protocols,Other network ports and protocols.,103,0.5,Outline
packet-captures,Packet Captures,120,0.6,Outline
patch-management,patch management,60,0.3,Outline
physical-security,Physical Security,260,1.3,Light
ping-traceroute-and-tracert,"ping, traceroute, and tracert",4,0,Outline
pki-public-key-infrstructure,PKI - public key infrstructure,47,0.2,Outline
playbook,Playbook,262,1.3,Light
ports-and-protocols,Ports and Protocols.,159,0.8,Light
power-distribution-systems,Power Distribution Systems,127,0.6,Outline
power-over-ethernet-poe,Power over Ethernet (PoE),189,0.9,Light
product-lifecycle,product lifecycle -,71,0.4,Outline
qos-quality-of-service,QoS Quality of service,256,1.3,Light
quick-notes,quick notes,419,2.1,Medium
redundant-site-considerations,Redundant Site considerations,3,0,Outline
remote-access-ports-and-protocols,Remote Access Ports and Protocols,457,2.3,Medium
remote-access-technology,Remote access technology,372,1.9,Light
risk-management,Risk Management,484,2.4,Medium
rouge-device,Rouge Device,243,1.2,Light
route-selection,Route Selection,335,1.7,Light
routing,Routing,120,0.6,Outline
routing-fundamentals,Routing Fundamentals,315,1.6,Light
routing-issues,Routing issues,37,0.2,Outline
routing-protocols,Routing protocols,234,1.2,Light
routing-redundancy-protocol,Routing Redundancy Protocol,252,1.3,Light
routing-tables,Routing Tables,309,1.5,Light
scada-ics,SCADA ICS,186,0.9,Light
secure-access-secure-edge-sase-securit-service-edge-sse,Secure Access Secure Edge - SASE .. Securit Service Edge SSE,132,0.7,Outline
security-principles,security principles,392,2,Light
segmentation-zones,Segmentation Zones,331,1.7,Light
signal-degradation,Signal Degradation,265,1.3,Light
slaac-statless-adress-autoconfiguration,SLAAC - statless address autoconfiguration.,214,1.1,Light
snmp-simple-network-management-protocol,SNMP (Simple Network management protocol),459,2.3,Medium
social-engineering-attacks,Social Engineering Attacks,425,2.1,Medium
software-defined-networking,Software defined networking,439,2.2,Medium
software-defined-wan,Software Defined Wan,14,0.1,Outline
software-tools,Software Tools,398,2,Light
source-control,Source Control,319,1.6,Light
stp-spanning-tree-protocol-802-1d,STP (Spanning Tree Protocol) 802.1d,548,2.7,Medium
sttelite-internet-access-using-satelites-to-establish-the-connection,Sttelite internet Access - using satelites to establish the connection,57,0.3,Outline
subnetting,Subnetting,616,3.1,Medium
swithching-loops,swithching loops,96,0.5,Outline
syslog-severity-level-flashcards,📝 Syslog Severity Level Flashcards,115,0.6,Outline
take-1,Take 1,881,4.4,Heavy
take-2,Take 2,317,1.6,Light
tansceivers,Tansceivers,427,2.1,Medium
tcpdump,tcpdump,18,0.1,Outline
the-cia-triad,The CIA Triad,247,1.2,Light
threats-and-vulnerabilities,Threats and Vulnerabilities,276,1.4,Light
training-and-exerscises,Training and Exerscises,274,1.4,Light
transmission-crontol-protocol-tcp,Transmission Crontol Protocol (TCP),380,1.9,Light
troubleshooting-methodology,Troubleshooting Methodology,90,0.5,Outline
troubleshooting-network-services,Troubleshooting Network Services,64,0.3,Outline
troubleshooting-performance-issues,Troubleshooting performance issues,12,0.1,Outline
troubleshooting-physical-network,Troubleshooting Physical network,71,0.4,Outline
troubleshooting-tools,Troubleshooting Tools,108,0.5,Outline
troubleshooting-wireless-networks,Troubleshooting Wireless Networks,220,1.1,Light
understanding-siems,Understanding SIEMS,542,2.7,Medium
upgrades-and-complianc-e,Upgrades and Complianc e,327,1.6,Light
user-datagram-protocol-udp,User Datagram Protocol (UDP),430,2.1,Medium
v-extensible-local-are-network,V Extensible Local are network,149,0.7,Outline
virtual-local-access-networks-vlan,Virtual Local Access Networks (vLAN),372,1.9,Light
vlan-configuration,VLAN Configuration,509,2.5,Medium
vlan-hopping,VLAN Hopping,452,2.3,Medium
vlan-issues,vlan issues,10,0.1,Outline
vpn-virtual-private-network,VPN(Virtual Private Network),464,2.3,Medium
wan,WAN -,43,0.2,Outline
web-ports-and-protocols,Web Ports and Protocols,487,2.4,Medium
when-security-fails,When security fails.,5,0,Outline
when-to-automate-and-orchestrate,When to automate and orchestrate,346,1.7,Light
wireless-antennas,Wireless Antennas,366,1.8,Light
wireless-considerations-in-troubleshooting,wireless considerations in troubleshooting.,486,2.4,Medium
wireless-coverage-issues,wireless coverage issues,145,0.7,Outline
wireless-frequencies,Wireless Frequencies,669,3.3,Medium
wireless-network-topology,Wireless Network Topology,86,0.4,Outline
wireless-networks,Wireless Networks,83,0.4,Outline
wireless-security,Wireless Security,687,3.4,Medium
wireshark,Wireshark,3,0,Outline
wirless-network-types,Wirless Network Types,551,2.8,Medium
zero-trust-archetecture,Zero Trust Archetecture,447,2.2,Medium
